ppcc,ppcc_baseline
0.729250119197,0.92978129249
0.763545390688,0.962815093721
0.737870215659,0.940526204741
0.0,0.703405421093
0.464257775955,0.889087480533
0.596429365649,0.882576213475
0.287547956022,0.833885769259
0.757422897997,0.972182404097
0.543559794923,0.913538617184
0.657078417295,0.876866874451
0.542756704909,0.797434962763
0.335791658477,0.84658656254
0.489529431955,0.94760556283
0.560078657854,0.926967112554
0.507873136859,0.910859274267
0.5483477228,0.941707048646
0.632835392312,0.963120937103
0.418701524764,0.952940755573
0.740416423016,0.963210553875
0.212333336148,0.793148414219
0.347553421514,0.870889651379
0.699935126861,0.909292853911
0.520570248875,0.949164874469
0.74763271476,0.93388122364
0.542407205329,0.921156329557
0.637208173899,0.879614081267
0.517790259335,0.836025383795
0.532479601802,0.849164921605
0.648639734286,0.926054976273
0.48271304764,0.872128342905
0.6037744097,0.920009286217
0.466234366604,0.955103247921
0.248230602738,0.797953792444
0.474809643525,0.945627683225
0.534663951433,0.826946155598
0.321954493468,0.817705171942
0.210572078372,0.746280030291
